,suburb,rented_price_2017,rented_price,rented_price_2019,rented_price_2020,rented_price_2021,rented_price_2022,rented_price_2023,rented_price_2024,pred_2025,pred_2026,pred_2027,model,confidence
3191,Dunolly (Vic.),250.0,245.0,254.0,260.0,280.0,368.0,360.0,410.0,288.1646106611789,287.10166933844846,287.5152590439217,combine,low
3192,Durham Ox,220.0,220.0,,,,,,,,,,combine,
3193,Dutton Way,238.75,282.5,250.0,250.0,,,215.0,,215.0,215.0,215.0,combine,low
3194,Eagle Point,426.875,400.0,260.0,,,470.0,500.0,,397.2218834015587,397.2266003470132,397.23227583148207,combine,low
3195,Eaglehawk,284.4776119402985,293.39449541284404,295.6707317073171,324.453125,371.6666666666667,416.031746031746,430.4761904761905,435.625,306.11510794356195,286.8301005583665,265.9534911952152,combine,high
3196,Eaglemont,567.5,576.72,600.9615384615385,627.5,678.75,577.9310344827586,714.2857142857143,684.4117647058823,568.0113783167283,555.4143805921624,542.109974287048,combine,low
3197,East Bairnsdale,289.4047619047619,272.8378378378378,281.0,318.2608695652174,352.5,367.85714285714283,406.53846153846155,427.0,1141.976172352658,1482.2172254397783,1852.9151732805449,combine,low
3198,East Bendigo,328.55263157894734,362.1111111111111,366.42857142857144,350.7894736842105,390.0,450.7692307692308,539.0,443.75,561.4116796469202,570.1173471657598,592.3345367964716,combine,low
3199,East Geelong,360.0595238095238,387.9326923076923,405.0,413.3139534883721,434.2307692307692,467.2826086956522,517.6136363636364,497.10526315789474,868.2623149591756,1085.4242665248084,1333.286835445967,combine,high
3200,East Warburton,335.0,290.0,363.3333333333333,280.0,400.0,450.0,476.6666666666667,446.6666666666667,3334.34251012185,3548.573559590067,3772.803814854136,combine,low
3201,Eastwood (Vic.),363.6363636363636,375.3061224489796,393.28125,401.219512195122,436.6666666666667,472.0,499.1304347826087,506.5,-11.78660258423534,-204.340458072032,-414.3441950795835,combine,low
3202,Echuca,384.7966457023061,398.2830626450116,413.20846905537456,433.5078125,458.57954545454544,516.8850574712644,538.7204724409448,563.3745454545455,1743.873950322498,2162.475327299563,2603.9593599280315,combine,high
3203,Echuca Village,323.2,393.875,,485.0,457.14285714285717,420.0,,976.0,-148073.76970408024,-178586.3201478697,-212759.5064860364,combine,low
3204,Echuca West,225.0,225.0,350.0,350.0,,,450.0,350.0,450.0,450.0,450.0,combine,low
3205,Ecklin South,270.0,230.0,230.0,,,,,,,,,combine,
3206,Edenhope,214.64285714285714,216.5625,206.15384615384616,212.72727272727272,234.52380952380952,255.0,305.0,305.0,239.312311728374,235.6574542195988,232.06557847987324,combine,low
3207,Eganstown,318.3333333333333,332.5,,395.0,,,,440.0,,,,combine,
3208,Eildon,271.75,264.70588235294116,270.90909090909093,302.5,300.0,280.0,,,282.0592379641737,282.0587207397366,282.0581398151808,combine,low
3209,Elliminyt,343.2857142857143,314.375,378.75,384.70588235294116,459.09090909090907,410.0,530.0,385.0,359.6579533750904,276.901517923778,161.87808335249645,combine,low
3210,Elmore,250.0,200.0,,321.42857142857144,415.0,,520.0,476.6666666666667,471.7392481011496,471.7392557650422,471.7392698901306,combine,low
3211,Elphinstone (Vic.),358.3333333333333,,,,480.0,,,680.0,480.0,480.0,480.0,combine,low
3212,Elsternwick,677.9722222222222,574.75,704.8571428571429,616.3015873015873,650.3913043478261,621.25,736.2857142857143,707.6470588235294,558.9112395960805,495.9783949231791,427.4067663690606,combine,low
3213,Eltham (Vic.),490.7843137254902,548.1775700934579,532.7350427350427,571.4516129032259,583.6363636363636,594.0816326530612,610.8695652173913,707.6315789473684,607.5204819630035,617.889834902699,628.3764481673263,combine,high
3214,Eltham North,539.7142857142857,598.9473684210526,568.939393939394,562.4814814814815,713.1818181818181,643.75,675.7142857142857,745.0,856.2436041166447,907.9740421260876,956.7796081820096,combine,low
3215,Elwood,589.3233082706766,605.536,667.3085106382979,622.457627118644,641.5441176470588,623.6268656716418,652.0238095238095,577.9545454545455,581.6326626379471,589.1598110140893,600.0302007981353,combine,high
3216,Emerald (Vic.),415.1136363636364,453.90909090909093,476.9512195121951,480.45,576.8571428571429,495.3333333333333,632.0588235294117,687.5,555.4248969309544,558.4351479795575,560.861100752066,combine,low
3217,Eppalock,300.0,,,,,,,,,,,combine,
3218,Epping (Vic.),370.0,362.0,350.0,430.0,415.0,,,470.0,660.0564848663355,660.0564848663355,660.0564848663355,combine,low
3219,Epsom (Vic.),325.9230769230769,332.77372262773724,351.01063829787233,364.86842105263156,390.703125,447.1904761904762,477.43362831858406,486.51162790697674,460.0365163455821,469.071254251899,478.150773414854,combine,high
3220,Essendon,519.5393939393939,543.5914893617021,555.4428571428572,557.9536082474227,551.8352272727273,552.0608108108108,646.9469026548672,623.4166666666666,486.7846127186144,454.1041851794739,423.78740905248696,combine,high
3221,Essendon North,525.0,462.77777777777777,555.0,523.3333333333334,405.0,596.6666666666666,505.0,900.0,877.7455732849993,981.8351004870692,1088.7454445542444,combine,low
3222,Essendon West,512.1052631578947,499.54545454545456,570.5263157894736,511.7391304347826,498.3333333333333,563.8235294117648,654.2857142857143,627.3333333333334,578.199457404859,596.8333801975455,617.1000145613771,combine,low
3223,Eumemmerring,346.7241379310345,338.9583333333333,371.1111111111111,377.58620689655174,393.1333333333333,416.4583333333333,479.44444444444446,440.23809523809524,414.60161443040295,407.9241140136705,400.8905654536978,combine,low
3224,Eureka (Vic.),279.54545454545456,352.0,295.7692307692308,325.0,339.1666666666667,425.0,375.7142857142857,390.0,352.5995702882047,354.0687009141645,355.4422874627012,combine,low
3225,Euroa,269.0,304.53125,294.56140350877195,311.4222222222222,352.94117647058823,404.5833333333333,452.75,486.0,388.1181763855427,389.37924544311227,391.90713483498325,combine,high
3226,Eurobin,275.0,,312.5,320.0,400.0,,510.0,520.0,536.1177851959243,536.1731200372529,536.2322989709888,combine,low
3227,Fairfield (Vic.),598.7313432835821,572.9411764705883,593.688524590164,634.375,614.3103448275862,640.1136363636364,678.0645161290323,741.6666666666666,591.1807653682431,564.2974200258418,541.8626400956368,combine,high
3228,Fairhaven,450.0,475.0,720.0,,,700.0,,750.0,700.0,700.0,700.0,combine,low
3229,Fawcett,330.0,,380.0,380.0,,,,,,,,combine,
3230,Fawkner,389.6703296703297,411.49732620320856,419.2142857142857,445.6723163841808,425.48636363636365,485.81297709923666,528.5555555555555,536.5714285714286,649.0230999031562,735.6718703225158,785.8029826991051,combine,high
3231,Ferntree Gully,421.3093385214008,427.7831541218638,432.65259117082536,452.19101123595505,520.2935606060606,540.283950617284,583.6064690026955,617.340782122905,595.2914920741763,610.5672388651232,624.9517260014012,combine,high
3232,Ferny Creek,444.54545454545456,566.6666666666666,465.45454545454544,432.5,555.0,667.7777777777778,,575.0,-199384972773338.53,-258238589254029.56,-323077152808873.5,combine,low
3233,Fingal (Vic.),672.0,797.5,715.3846153846154,795.0,682.0,718.75,873.75,804.5454545454545,802.0764101154325,816.9932489162186,833.2453587946677,combine,low
3234,Fish Creek,165.0,,270.0,,350.0,500.0,405.0,400.0,610.192750879247,687.3036630336702,768.1344849407116,combine,low
3235,Fitzroy North,617.1698113207547,660.7813953488372,667.3963414634146,656.7740384615385,652.9707602339181,688.8562091503268,651.0344827586207,694.5,697.0131727217138,696.1494955565945,692.8022038363472,combine,high
3236,Flemington,515.0,510.7368421052632,568.75,567.0178571428571,568.3287671232877,557.054794520548,635.2777777777778,656.2,1608.9827973106471,1888.003346351136,2159.542474202531,combine,high
3237,Flinders (Vic.),443.8333333333333,655.5,611.9333333333333,659.5454545454545,200.0,662.2222222222222,841.6666666666666,475.0,-81.60275240888626,-107.80050399487703,-134.45069365328567,combine,low
3238,Flora Hill,297.149377593361,309.0912698412698,313.8689655172414,327.27848101265823,351.43382352941177,380.1782945736434,445.9574468085106,431.1363636363636,475.8935589648802,504.8591538053004,535.2523210427798,combine,high
3239,Flowerdale (Vic.),270.0,290.0,327.5,300.0,,475.0,460.0,600.0,474.6409084594468,474.6445679214368,474.64843085306927,combine,low
3240,Flynn (Vic.),302.5,326.6666666666667,450.0,375.0,,,,,,,,combine,
3241,Footscray,616.6666666666666,405.625,473.3333333333333,400.0,,410.0,510.0,495.0,419.1839050248839,355.9421962624764,295.9890109525987,combine,low
3242,Forbes (Vic.),553.3333333333334,,,,,,,,,,,combine,
3243,Forest Hill (Vic.),449.969512195122,461.9072164948454,490.9175824175824,517.5314285714286,508.75,533.0662983425415,580.9130434782609,644.0909090909091,545.3905017959783,549.2764569106832,551.3931842052498,combine,high
3244,Forge Creek,347.5,340.0,398.75,275.0,380.0,355.0,,,450.786603097045,450.76466152754585,450.7379514328183,combine,low
3245,Forrest (Vic.),305.0,265.0,257.5,360.0,430.0,385.0,280.0,,411.4985354962771,398.4936781285526,383.62289694711023,combine,low
3246,Foster,290.0,311.6666666666667,310.0,,380.0,459.5,395.0,347.0,415.2698211407591,423.9107639574653,432.96845961189945,combine,low
3247,Frankston,389.8498635122839,396.6254826254826,400.5896907216495,406.26346604215456,445.38825214899714,503.54815864022663,551.556586270872,547.6477732793522,567.6550349501099,592.7298873066952,618.0875211798316,combine,high
3248,Frankston North,300.0,320.0,321.42857142857144,320.0,325.0,,440.0,,336.4071469835699,336.41387504118774,336.42037058322626,combine,low
3249,Frankston South,468.44223107569724,488.60474308300394,503.05019305019306,525.4867256637168,552.2222222222222,555.45,615.1048951048951,629.4303797468355,604.1400397622702,612.3468888851306,620.4210287436782,combine,high
3250,Freeburgh,400.0,,,400.0,,,,495.0,,,,combine,
3251,Fryerstown,330.0,,340.0,360.0,395.0,415.0,,,402.0873377072133,402.08733894386734,402.087339969448,combine,low
3252,Fulham (Vic.),370.0,,,,,,,,,,,combine,
3253,Gapsted,255.0,,,300.0,390.0,,550.0,,518.1186099441221,518.1187137912469,518.1188248525958,combine,low
3254,Gardenvale,575.0,595.3846153846154,325.0,313.3333333333333,719.0,475.0,675.0,622.5,440.8134303193458,456.5734543120837,472.95249269077726,combine,low
3255,Garfield,330.38461538461536,466.42857142857144,367.5,376.53846153846155,479.8,411.6666666666667,421.6666666666667,507.85714285714283,385.3444687039503,373.0621678801104,361.11785101649866,combine,low
3256,Geelong,417.3057851239669,462.0982142857143,449.3956043956044,457.3921568627451,483.4320987654321,513.3536585365854,517.7083333333334,464.13793103448273,520.705744570704,517.2358089941365,512.4609173635386,combine,high
3257,Geelong West,358.17934782608694,380.0591715976331,426.1635220125786,420.3672316384181,470.234375,494.5652173913044,501.4935064935065,501.219512195122,470.5030086887029,475.946046041261,481.74832727074926,combine,high
3258,Gembrook,405.0,456.0,416.5625,416.7857142857143,428.0,521.75,685.5,645.0,525.930222536088,539.9558314655478,553.5200905799393,combine,low
3259,Girgarre,195.0,197.0,216.66666666666666,214.6,210.0,235.0,400.0,,792.0757857435234,799.3410123270447,815.3460865024682,combine,low
3260,Gisborne,450.6847826086956,507.2761904761905,492.9236111111111,516.4146341463414,530.9541984732824,544.7058823529412,591.3986928104575,603.2843137254902,606.9118614394579,613.7652731809436,621.2371643631471,combine,high
3261,Gladstone Park,412.24719101123594,411.26153846153846,414.5163934426229,420.546218487395,438.6770186335404,461.7388535031847,489.61344537815125,548.1818181818181,456.50527169029215,452.3680300549329,448.7412310050311,combine,high
3262,Gladysdale,396.25,,430.0,,,,,,,,,combine,
3263,Glen Huntly,555.6190476190476,500.2,482.6666666666667,550.0,577.6818181818181,643.3333333333334,622.9166666666666,719.1666666666666,617.6862021502833,617.4495911712274,617.1963896348825,combine,low
3264,Glen Iris (Vic.),634.2348484848485,632.4155124653739,634.3874538745388,606.5317073170731,617.7262569832402,597.3155080213904,658.3021582733813,635.7051282051282,972.7559369345522,1040.0838329633093,1099.0005210557115,combine,high
3265,Glen Waverley,520.0,472.5,650.0,450.0,478.75,478.1818181818182,490.0,743.75,532.2681536644477,547.5516608542266,566.3666718120758,combine,low
3266,Glenaladale,250.0,,,,,,,,,,,combine,
3267,Glenburn,325.0,395.0,320.0,,450.0,,395.0,600.0,413.4224265236636,413.4224213333082,413.4224158542272,combine,low
3268,Glengarry (Vic.),321.6666666666667,267.77777777777777,343.3333333333333,388.75,429.7142857142857,445.0,425.0,500.0,561.9716814246067,584.2612140562464,603.2959112503836,combine,low
3269,Glengarry North,430.0,250.0,,370.0,,,625.0,630.0,626.125,626.125,626.125,combine,low
3270,Glenlyon (Vic.),336.25,385.0,345.0,410.0,,610.0,535.0,623.75,205.4453963367616,205.4600870087417,205.4759843507001,combine,low
3271,Glenmaggie,250.0,250.0,260.0,,,520.0,550.0,,637.7394055160893,637.7989233046965,637.858082459129,combine,low
3272,Glenrowan,240.0,,,,,,,,,,,combine,
3273,Glenroy (Vic.),370.0,566.25,707.5,850.0,360.0,416.6666666666667,650.0,650.0,990.1973985956962,1001.0631070586024,1014.0868964851088,combine,low
3274,Golden Beach (Vic.),355.0,,355.0,393.5,393.5,,337.5,445.0,361.5233066423575,361.44097898976224,361.3554739141687,combine,low
3275,Golden Point (Ballarat - Vic.),293.515625,280.9259259259259,308.3333333333333,298.75,307.5,310.0,382.5,,399.6154788801402,418.9516089378224,437.39084098421694,combine,low
3276,Golden Point (Mount Alexander - Vic.),250.0,,,,,,,,,,,combine,
3277,Golden Square,290.7692307692308,322.8125,375.0,338.8888888888889,272.0,358.3333333333333,498.3333333333333,450.0,448.9014262350737,483.1774034227084,513.0772772034517,combine,low
3278,Goornong,267.5,292.5,265.0,265.0,470.0,386.6666666666667,467.5,425.0,445.9926974666081,446.135955296992,446.4092810778187,combine,low
3279,Gordon (Vic.),312.85714285714283,306.0,393.0,307.0,393.3333333333333,416.0,478.0,600.0,416.4408953860736,418.5232086601033,420.5968114333635,combine,low
3280,Gowanbrae,459.3478260869565,507.85714285714283,470.55555555555554,483.0,504.5652173913044,514.4736842105264,601.9444444444445,520.0,477.6103666705589,476.7574429942715,477.4643569695263,combine,low
3281,Grahamvale,374.5,332.6666666666667,550.0,485.0,450.0,650.0,,,697.776254085136,697.7727332296377,697.7692534015986,combine,low
3282,Grantville,334.4,347.9166666666667,344.1666666666667,371.59090909090907,393.5,449.375,467.5,536.6666666666666,474.0169215205832,486.9958064163135,500.1687799508256,combine,low
3283,Great Western,285.0,300.0,316.0,220.0,352.5,315.0,,307.5,-24021653398456.71,-29138789692716.336,-34075392440171.4,combine,low
3284,Greensborough,415.0,,,403.3333333333333,800.0,353.3333333333333,360.0,620.0,580.1473038584263,586.4427789020519,574.8800518241005,combine,low
