,suburb,rented_price_2017,rented_price,rented_price_2019,rented_price_2020,rented_price_2021,rented_price_2022,rented_price_2023,rented_price_2024,pred_2025,pred_2026,pred_2027,model,confidence
24,Avoca (Vic.),200.0,260.0,214.0,232.5,270.0,292.5,347.14285714285717,339.2857142857143,314.0,314.0,314.0,0r,low
25,Avondale Heights,389.1666666666667,411.7687074829932,422.46305418719214,432.59090909090907,420.73417721518985,442.029702970297,490.95982142857144,585.1153846153846,447.4800884955752,447.4800884955752,447.4800884955752,0r,high
26,Avonsleigh,353.3333333333333,350.0,,,,563.3333333333334,620.0,,571.6666666666666,571.6666666666666,571.6666666666666,0r,low
27,Bacchus Marsh,308.4020618556701,310.04819277108436,324.4516129032258,327.09090909090907,355.86915887850466,358.0534351145038,392.09322033898303,413.75,363.7881040892193,363.7881040892193,363.7881040892193,0r,high
28,Baddaginnie,240.0,,,350.0,,,430.0,,430.0,430.0,430.0,0r,low
29,Badger Creek,310.0,341.25,367.5,382.5,336.6666666666667,501.6666666666667,485.0,,447.5,447.5,447.5,0r,low
30,Bagshot,340.0,400.0,,,450.0,,422.5,,433.3333333333333,433.3333333333333,433.3333333333333,0r,low
31,Bairnsdale,257.88709677419354,261.57232704402514,275.8606557377049,281.5725806451613,311.38655462184875,339.18918918918916,372.5135135135135,385.6034482758621,348.7878787878788,348.7878787878788,348.7878787878788,0r,high
32,Bakery Hill,328.3333333333333,443.84615384615387,330.0,267.5,326.5,397.27272727272725,388.0,467.5,380.8,380.8,380.8,0r,low
33,Balaclava (Vic.),420.8452722063037,444.3170731707317,449.98776758409787,439.1434977578475,420.7074829931973,435.63097949886105,520.4782608695652,535.3432835820895,447.7693856998993,447.7693856998993,447.7693856998993,0r,high
34,Balintore,325.0,350.0,330.0,,,,,,,,,0r,
35,Ballan,323.6842105263158,332.5,335.0,339.76190476190476,354.64285714285717,372.5,446.47058823529414,424.09090909090907,392.60869565217394,392.60869565217394,392.60869565217394,0r,low
36,Ballarat Central,278.93092105263156,292.52252252252254,306.9543147208122,340.5324074074074,353.32512315270935,369.2918454935622,392.33474576271186,406.5546218487395,372.39464285714286,372.39464285714286,372.39464285714286,0r,high
37,Ballarat East,276.4162679425837,283.0,312.64957264957263,320.5982905982906,336.3980582524272,354.3307086614173,377.962962962963,421.25,356.40453074433657,356.40453074433657,356.40453074433657,0r,high
38,Ballarat North,252.79166666666666,269.52054794520546,280.94594594594594,266.875,305.3333333333333,339.86842105263156,362.5625,379.2682926829268,338.2266009852217,338.2266009852217,338.2266009852217,0r,high
39,Balnarring,410.0,478.7,459.5,500.0,402.5,623.4615384615385,665.0,,604.074074074074,604.074074074074,604.074074074074,0r,low
40,Balnarring Beach,420.0,,,,,,,,,,,0r,
41,Balwyn,458.555,489.7994269340974,485.7651933701657,499.6960985626283,458.9739336492891,491.49766355140184,575.1613832853026,598.0,503.740701381509,503.740701381509,503.740701381509,0r,high
42,Balwyn North,507.390625,502.6732673267327,513.896174863388,523.8915094339623,513.2826086956521,535.9839357429719,636.2831858407079,607.2053571428571,548.4182156133829,548.4182156133829,548.4182156133829,0r,high
43,Bamawm,300.0,,340.0,340.0,,,,,,,,0r,
44,Bandiana,377.14285714285717,363.3333333333333,400.0,,,490.0,545.0,545.0,517.5,517.5,517.5,0r,low
45,Bannockburn (Vic.),367.6,337.85714285714283,361.875,354.8666666666667,383.3333333333333,491.28,504.6666666666667,518.75,477.85,477.85,477.85,0r,low
46,Baranduda,368.75,350.0,385.0,390.0,400.0,476.07142857142856,546.25,515.0,496.0344827586207,496.0344827586207,496.0344827586207,0r,low
47,Barkers Creek,415.0,375.0,388.3333333333333,425.0,425.0,475.0,,580.0,450.0,450.0,450.0,0r,low
48,Barnawartha,280.0,260.0,330.0,320.0,,,380.0,460.0,380.0,380.0,380.0,0r,low
49,Bass,400.0,250.0,280.0,849.0,802.5,440.0,600.0,,708.3333333333334,708.3333333333334,708.3333333333334,0r,low
