suburb,r2_0r,r2_lr,r2_rf,r2_combine,type,confidence
Tecoma,0.7273253621958075,0.7273253621958075,0.7962536415503211,0.7909455418738557,House,low
Creswick,0.3881570181903532,0.3881570181903532,-0.5978440057798726,0.0542433931475775,House,low
Irymple (Vic.),0.4643474928658746,0.4643474928658746,0.6134202636672074,0.5552951794595866,House,low
Lancefield,0.8923332112280258,0.8923332112280258,0.6212298682174708,0.8378087256162905,House,low
Yallourn North,-0.6723950929793483,-0.6723950929793483,0.3549295560407534,0.4664807279747995,House,low
Heatherton,0.3888229634143023,0.3888229634143023,0.3398931698607179,0.6087677966785754,House,low
Strathfieldsaye,-0.2850394644743033,-0.2850394644743033,0.1917866805168859,0.236949410079737,House,low
San Remo (Vic.),0.7373910196030948,0.7373910196030948,0.7137180804305591,0.754592637635429,House,low
Beechworth,0.3291122476252864,0.3291122476252864,0.3278411917475422,0.3788058196699642,House,low
McKenzie Hill,0.8054333793625601,0.8054333793625601,0.5033216702958173,0.7433801478647735,House,low
Anglesea,-0.1833923157032011,-0.1833923157032011,0.0126146778691575,0.130074266054683,House,low
Heywood,0.2872325582789142,0.2872325582789142,0.4251291986027539,0.3597572606428196,House,low
Bonshaw (Vic.),0.53941062333724,0.53941062333724,0.3233167097580158,0.4950457967164693,House,low
Warrenheip,0.5731608260977827,0.5731608260977827,0.4123607325399284,0.6302407123951859,House,low
Bundalong,0.61128345477398,0.61128345477398,-0.1584445054945074,0.4741351401379001,House,low
Eltham North,-1.341913245374568,-1.341913245374568,0.5429403288845883,0.0745727898969131,House,low
Chiltern,0.6324224861954291,0.6324224861954291,0.1880153528276754,0.4366956248544422,House,low
Nagambie,0.7307365598537714,0.7307365598537714,0.5398854499737864,0.6784658271347696,House,low
Merbein,0.8951054664824859,0.8951054664824859,0.2629531218669614,0.7248192730261016,House,low
Wy Yung,0.4025629488662138,0.4025629488662138,0.4827914380473258,0.729395562387791,House,low
Cape Paterson,0.2828631919511409,0.2828631919511409,0.4449010486059224,0.7168496697520861,House,low
Trentham,0.7315887587703485,0.7315887587703485,0.6255377432370206,0.7159841507543709,House,low
Teesdale (Vic.),0.5821666419728906,0.5821666419728906,0.2507276189436662,0.6701970323595478,House,low
Gembrook,0.8378130369973723,0.8378130369973723,-0.4713207504921661,0.6508162448676453,House,low
Blackburn,-0.3225172760615507,-0.3225172760615507,0.3514129894963831,0.0442172989882343,House,low
Hepburn Springs,0.3809503307800308,0.3809503307800308,0.3072394732161375,0.376490320164802,House,low
Lake Tyers Beach,-0.3811053076610837,-0.3811053076610837,0.1982376261742779,0.0835137059283076,House,low
Lorne (Vic.),0.2392036303780382,0.2392036303780382,0.0252539979040329,0.1951420990620208,House,low
Montrose (Vic.),0.6946351752695936,0.6946351752695936,0.5338095716608819,0.6660271012365693,House,low
Rosedale (Vic.),0.3203922389995224,0.3203922389995224,0.8565929960984662,0.6652864439666666,House,low
Warracknabeal,0.1025787888189446,0.1025787888189446,0.7625881381384486,0.5061430617578411,House,low
Yarra Glen,0.5048180215301813,0.5048180215301813,0.0517086435957246,0.3075140763869169,House,low
Coronet Bay,0.0954771059621113,0.0954771059621113,0.5840162133687441,0.4306645649010817,House,low
Wurruk,0.6553396603331884,0.6553396603331884,-1.4280588686129487,0.1558800877166691,House,low
Baxter,0.3295022378393312,0.3295022378393312,0.6620538151367887,0.7740029850099623,House,low
Nichols Point,0.7781056861792233,0.7781056861792233,0.8864254811872144,0.9135891262592928,Unit,low
Kilsyth South,0.6479131352819401,0.6479131352819401,-0.3176830744300001,0.5243312698284044,Unit,low
Warrandyte,0.4909589258084577,0.4909589258084577,0.4954897059049815,0.5047865568242298,Unit,low
Ballan,0.0336522133050825,0.0336522133050825,0.1747704362241388,0.5250508188320699,Unit,low
East Melbourne,-0.0125967896354703,-0.0125967896354703,0.3770138001659412,0.2665929987108246,Unit,low
Glen Waverley,-0.1913147229490526,-0.1913147229490526,0.2567709114726514,0.5621932274299164,Unit,low
Pascoe Vale,0.0969931651595694,0.0969931651595694,-0.0545149629190646,0.3899782792089006,Unit,low
Mirboo North,0.4286032885390426,0.4286032885390426,0.6825430711666824,0.599997625366012,Unit,low
Numurkah,0.3059894855537862,0.3059894855537862,0.1254695175107917,0.2764473635278376,Unit,low
Essendon North,0.5584744191832176,0.5584744191832176,0.677236912507482,0.7483957385168876,Unit,low
Longwarry,0.2446939890611161,0.2446939890611161,0.0293034023797714,0.1559789262787714,Unit,low
Mount Evelyn,0.0523990742749586,0.0523990742749586,-0.1966141218565134,0.1518434203833499,Unit,low
Dandenong South,0.7960492632613808,0.7960492632613808,0.2188260172011804,0.5784196726897365,Unit,low
Quarry Hill,0.1343745394304177,0.1343745394304177,0.4141141628412814,0.9180314887889532,Unit,low
Sunset Strip (Vic.),0.4307484956267721,0.4307484956267721,0.4786636969262138,0.4754586357553938,Unit,low
Hopetoun (Vic.),-4.296211207111352,-4.296211207111352,0.3037765119799633,0.209642783014773,Unit,low
Invermay Park,0.8214897114465031,0.8214897114465031,0.5014583096847895,0.7013597675949693,Unit,low
Cranbourne South,-1.4634252286718743,-1.4634252286718743,0.5547385080831457,0.472878861041764,Unit,low
Caulfield East,-1.0842356398203905,-1.0842356398203905,-0.3429877207500342,0.7203442001649697,Unit,low
Port Albert,0.7377790435358743,0.7377790435358743,0.4247431695466247,0.8209866280121911,Unit,low
Baranduda,-0.9221685968295978,-0.9221685968295978,0.5743290753442571,0.444784781116301,Unit,low
Fingal (Vic.),-0.3254426289390573,-0.3254426289390573,0.461454657216292,0.1291298269306233,Unit,low
Derrimut,0.4323703061843472,0.4323703061843472,-0.72082425902498,0.4750584252662286,Unit,low
Romsey,-0.5091221775035286,-0.5091221775035286,0.8361151174696679,0.5826813493134643,Unit,low
Aberfeldie,-0.8916985140817555,-0.8916985140817555,0.5559251900022567,0.00645604476412,Unit,low
Birregurra,0.6111307229931477,0.6111307229931477,0.7653924967163379,0.8261930439865748,Unit,low
Jan Juc,-0.6911845205241052,-0.6911845205241052,-1.943757917491542,0.2539145820705519,Unit,low
Carnegie,0.0469128033660529,0.0469128033660529,0.3938832817251,0.3163403774961255,Unit,low
Mount Cottrell,0.2936163085928809,0.2936163085928809,0.1892272033342357,0.3728029811788149,Unit,low
Rippleside,-0.0992056495227993,-0.0992056495227993,0.5704965848531953,0.540075804918823,Unit,low
Coldstream (Vic.),-1.7670986371264563,-1.7670986371264563,-0.2415268789698963,0.4639228628938396,Unit,low
California Gully,0.2660289352612381,0.2660289352612381,0.2501785465350324,0.6427212093311931,Unit,low
Nicholson (Vic.),0.2858818550887084,0.2858818550887084,-0.0473311014150943,0.2903081789513286,Unit,low
Buninyong,0.2976960142099047,0.2976960142099047,0.3488271956875532,0.3443140587418435,Unit,low
Carrum Downs,0.9379399320292816,0.9379399320292816,-1.7272220752984406,0.4142272941526994,Unit,low
Deepdene (Vic.),0.336836708429103,0.336836708429103,0.380873942473951,0.5200915549676077,Unit,low
Spring Gully (Vic.),0.7696977204593487,0.7696977204593487,0.4428372773934943,0.6593784249457404,Unit,low
Junortoun,0.475035618657448,0.475035618657448,0.4146804020913799,0.5322807646144838,Unit,low
Ironbark (Vic.),0.3700858745947095,0.3700858745947095,-0.5851271587781857,0.1382112332068689,Unit,low
